assessment,year,countrycode,grade,male,subgroup,n_score_timss_math,m_score_timss_math,se_score_timss_math,n_score_timss_scie,m_score_timss_scie,se_score_timss_scie,n_sdg411_scie,m_sdg411_scie,se_sdg411_scie,n_sdg411_math,m_sdg411_math,se_sdg411_math,n_total,n_bul_pv,n_bul_ev_all,n_bul_ev_o,n_bul_ev_trad,n_bul_any,n_bul_c_all
TIMSS,2023,ALB,4,0,all,1155,509.98355,5.076117,1155,494.97543,4.6231413,1155,.89722681,.018436899,1155,.91363531,.017359395,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_any=1,319,492.11615,7.4854693,319,481.91812,6.2353277,319,.86183691,.03282715,319,.86725909,.033115819,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_c_all=0,964,508.49664,5.5837789,964,494.47852,5.04953,964,.90421832,.021403389,964,.91567391,.020370228,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_c_all=1,191,517.16968,14.556914,191,497.37692,15.271808,191,.86343682,.054423742,191,.90378273,.038009025,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_ev_all=0,836,517.0119,5.7718086,836,500.11166,5.736927,836,.91114789,.025120504,836,.93187797,.020499915,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_ev_all=1,319,492.11615,7.4854693,319,481.91812,6.2353277,319,.86183691,.03282715,319,.86725909,.033115819,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_ev_o=0,1081,513.89642,5.1666422,1081,498.79059,4.8030529,1081,.91087043,.019016752,1081,.92604798,.016257556,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_ev_o=1,74,463.16385,12.080582,74,449.32516,11.50233,74,.73397481,.07791058,74,.76511204,.07675463,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_ev_trad=0,847,516.63989,5.8919125,847,499.69058,5.7428164,847,.90952498,.024936173,847,.93054116,.020888124,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_ev_trad=1,308,492.24512,7.7487893,308,482.41,6.2700019,308,.86445355,.033868674,308,.86858302,.032874733,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_pv=0,1019,513.13885,5.3209286,1019,498.22775,5.0857263,1019,.90902907,.019687584,1019,.92341244,.016990758,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_pv=1,136,487.64941,10.78742,136,471.9545,7.8471942,136,.81368679,.05707087,136,.84442973,.054640442,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,1,all,1219,513.07245,5.3505716,1219,486.52264,4.5020757,1219,.85722893,.024222312,1219,.90467232,.017260719,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_any=1,419,493.1449,7.1396437,419,471.48169,5.9019976,419,.80855173,.034194764,419,.867998,.030630663,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_c_all=0,1044,513.26221,5.9873424,1044,486.77658,4.8041015,1044,.86292189,.025379548,1044,.90638161,.018740082,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_c_all=1,175,511.88629,15.139789,175,484.93527,15.051909,175,.82164299,.062242027,175,.89398754,.046519123,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_ev_all=0,800,523.56934,6.1664419,800,494.44553,5.3411126,800,.8828699,.026771709,800,.92399067,.022314763,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_ev_all=1,419,493.1449,7.1396437,419,471.48169,5.9019976,419,.80855173,.034194764,419,.867998,.030630663,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_ev_o=0,1104,519.02631,5.2183213,1104,492.01758,4.758718,1104,.87657541,.024566842,1104,.92264336,.015870094,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_ev_o=1,115,460.74631,13.248005,115,438.22992,9.6147575,115,.68720067,.054693498,115,.7467317,.069604091,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_ev_trad=0,809,523.32324,6.1762767,809,494.07986,5.3051267,809,.88289624,.026578926,809,.92511076,.021986838,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_ev_trad=1,410,492.74377,7.3782969,410,471.53574,6.1608562,410,.80632758,.034512799,410,.86414027,.031402409,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_pv=0,1009,519.93811,5.1151919,1009,491.64694,4.6333852,1009,.87976116,.024396632,1009,.92591846,.016290069,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_pv=1,210,479.43347,10.987178,210,461.41583,8.7911749,210,.74683076,.048443079,210,.80057508,.051853742,1219,210,419,115,410,419,175
TIMSS,2023,ARE,4,0,all,17060,491.13293,1.7995256,17060,494.33145,2.1049345,17060,.78285408,.0057284632,17060,.79347879,.0066708527,17060,6454,9206,3733,8887,9206,4189
