countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,grade,male,year,bullying_pv25,bullying_pv50,bullying_pv75,bullying_ev_all25,bullying_ev_all50,bullying_ev_all75,bullying_ev_online25,bullying_ev_online50,bullying_ev_online75,bullying_ev_trad25,bullying_ev_trad50,bullying_ev_trad75,bullying_c_all,violence_c_all,violence_c_cp,violence_c_teach,bullying_index,bullying_pv,bullying_ev_all,bullying_ev_online,bullying_ev_trad
ALB,Albania,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,-9,2019,.1497006,.0059880242,0,.48502994,.095808387,.0059880242,.011976048,0,0,.44311377,.089820363,.0059880242,.048590653,1,.032253843,1,11.26800608965171,.14116915,.27490747,.034652423,.26646692
ALB,Albania,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,0,2019,,,,,,,,,,,,,.05708288,1,.037542477,1,11.55724068004038,.10292651,.21362494,.019789068,.20736927
ALB,Albania,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,1,2019,,,,,,,,,,,,,.04056754,1,.027257355,1,10.9907832400698,.17775638,.33353728,.048872393,.32300645
ALB,Albania,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,-9,2023,.19444445,.0092592593,0,.41666666,.2037037,.018518519,.064814813,.0092592593,0,.42592594,.17592593,.018518519,.11872839,1,.11872839,1,11.14645515458285,.14745319,.31477064,.090085834,.30514017
ALB,Albania,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,0,2023,,,,,,,,,,,,,.1326353,1,.1326353,1,11.35755591065149,.12378825,.28231141,.07712806,.27285919
ALB,Albania,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,1,2023,,,,,,,,,,,,,.10578881,1,.10578881,1,10.93964227648612,.1695037,.34501553,.10215963,.33521891
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,4,-9,2019,.50581396,.26162791,.023255814,.17732558,.53488374,.21947674,.26017442,.04360465,.0014534884,.20203489,.53488374,.19040698,.23380454,1,.18780459,1,9.502811192955827,.39318773,.59630573,.18595381,.58087277
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,4,0,2019,,,,,,,,,,,,,.21894996,1,.18331252,1,9.850827915798806,.32719493,.53645861,.142087,.51866519
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,4,1,2019,,,,,,,,,,,,,.24873516,1,.19231968,1,9.152166064267741,.45983276,.6567443,.23025414,.64369518
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,8,-9,2019,.46869984,.17014447,.041733548,.31460676,.47191012,.12680578,.21990369,.044943821,.016051365,.33065811,.46067417,.11075442,.18404432,.18565407,.15397581,.15473187,9.618587663756067,.34733242,.51971072,.18488461,.50638789
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,8,0,2019,,,,,,,,,,,,,.17199659,.17199659,.14058256,.14432874,10.10397309891516,.24622855,.42617905,.12281263,.40987185
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,8,1,2019,,,,,,,,,,,,,.19531856,.19843474,.16650924,.16446713,9.171333844922694,.43985334,.60530227,.24168715,.59471041
